Nom,Alquiler,Extra,Carrer,Direccion,Barri,Districte,Població,Província,Descripcion,Latitud,Longitud
Alquiler de piso en avenida Francia,950 €/m  ,90 m²   2 hab.   4ª planta exterior, Avinguda Francia  , Avinguda Francia   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Disponible a partir del 20/03/2018. Fantástico piso en alquiler, amueblado y con electrodomésticos, se encuentra en una cuarta planta con ascensor. Residencial con piscina, zonas comunes y portero. La vivienda que cuenta con una superficie de 90m2 construido está distribuida en hall de entrada co...",39.4597712,-0.3492224
Alquiler de piso en calle de Samuel Ros,1.500 €/me,    147 m²   4 hab.   7ª planta exterior, Carrer de Samuel Ros  , Carrer de Samuel Ros   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Residencial con piscina, zona infantil, jardín y portero. Esta magnífica vivienda se encuentra en una séptima planta totalmente exterior con una superficie de 147m2 construidos y con buenas calidades. Distribuido en 4 habitaciones dos de las cuales tienen cama de matrimonio, 2 baños (1 en suite),...",39.4608536,-0.3466732
Alquiler de piso en calle del nord,699 €/m  ,60 m²   2 hab., Carrer del nord  , Carrer del nord   La Petxina     Extramurs    ,La Petxina   , Extramurs   ,Valencia,València,"Se alquila Piso con ascensor en la zona de El Botànic. Tiene una superficie de 60 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es interior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Recién reformado a estre...",39.4756887,-0.3909887
Alquiler de piso en calle de l'alguer,850 €/m  ,96 m²   3 hab.   2ª planta exterior, Carrer de l'alguer  , Carrer de l'alguer   L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de Aiora. Tiene una superficie de 96 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. GARAJE INCLUIDO...",39.4702347,-0.3404138
Alquiler de piso en calle alfred toran i olmos,975 €/m  ,130 m²   3 hab., Carrer alfred toran i olmos  , Carrer alfred toran i olmos   Penya-Roja     Camins al Grau    ,Penya-Roja   , Camins al Grau   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de La Creu del Grau. Tiene una superficie de 130 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. coc...",39.4600812,-0.3506026
Alquiler de piso en calle alcublas,595 €/m  ,53 m²   2 hab., Carrer alcublas  , Carrer alcublas   El Calvari     Campanar    ,El Calvari   , Campanar   ,Valencia,València,"Se alquila Planta Baja en la zona de Campanar. Tiene una superficie de 53 m2, distribuidos en 2 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Reforma toda nueva a estrenar. I...",39.4869564,-0.3884264
Alquiler de piso en avenida de pérez galdós,850 €/m  ,106 m²   3 hab., Avinguda de pérez galdós  , Avinguda de pérez galdós   Nou Moles     L'Olivereta    ,Nou Moles   , L'Olivereta   ,Valencia,València,"Se alquila Piso con ascensor muy luminoso en la zona de El Botànic. Tiene una superficie de 106 m2, distribuidos en 3 habitaciones, 2 baños, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Videoport...",39.4715529,-0.3932865
Alquiler de piso en calle de sueca,799 €/m  ,80 m²   3 hab., Carrer de sueca  , Carrer de sueca   Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Se alquila Piso muy luminoso en la zona de Russafa. Tiene una superficie de 80 m2, distribuidos en 3 habitaciones, 1 baño, comedor y cocina, con electrodomésticos. Es exterior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. Internet. Ascensor en proye...",39.461006,-0.3748042
Alquiler de piso en El Cabanyal-El Canyamelar,570 €/m  ,90 m²   2 hab.   5ª planta exterior,   ,    El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"Final de Blasco Ibañez estación Cabañal. Apartamento con reforma a estrenar, diáfano en zonas comunes y muy luminoso. se alquila a estudiantes y jóvenes profesionales por estancias cortas. Contactar por wass Junto a la estación del Cabañal, en un barrio con todo tipo de comercios, mercados emble...",39.4678596,-0.3301342
Alquiler de ático en El Calvari,1.150 €/me,    159 m²   4 hab.   1ª planta,   ,    El Calvari     Campanar    ,El Calvari   , Campanar   ,Valencia,València,"Ático triplex con terraza de 20 metros aprox. y excelentes vistas al parque del Hospital la Fe. Dispone de 4 habitaciones amplias, 2 baños y un aseo. Esta vivienda amueblada se distribuye de salón comedor con balcón, cocina y aseo en la siguiente planta. Dispone de 3 habitaciones, vestidor y 2 ba...",39.4867585,-0.390434
Alquiler de piso en Sant Marcellí,600 €/m  ,92 m²   3 hab.   3ª planta exterior,   ,    Sant Marcellí     Jesús    ,Sant Marcellí   , Jesús   ,Valencia,València,"Z. SAN MARCELINO. Amplia vivienda en edificio con ascensor, posibilidad de 4 habitaciones. En perfecto estado. Orientación sur. Sin amueblar.",39.44567,-0.39013
Alquiler de piso en Russafa,575 €/m  ,76 m²   2 hab.   3ª planta exterior,   ,    Russafa     L'Eixample    ,Russafa   , L'Eixample   ,Valencia,València,"Vivienda de 74m2 de superficie, tercera planta sin ascensor, dos dormitorios (uno doble y uno simple), salón comedor muy amplio con techos altos, cocina independiente y baño. Tiene un balcón a calle peatonal. Precio: 575€ gastos de comunidad incluidos.",39.4612576,-0.3736584
Alquiler de piso en calle de daroca,550 €/m  ,67 m²   3 hab.   4ª planta interior," Carrer de daroca, 21 /4/16  "," Carrer de daroca, 21 /4/16   Els Orriols     Rascanya    ",Els Orriols   , Rascanya   ,Valencia,València,"El Valencia Apartment incluye aire acondicionado y está situado en Valencia, a 500 metros del estadio de fútbol del Levante y a 10 minutos en coche del centro de la ciudad. Este apartamento con aire acondicionado consta de 2 dormitorios dobles, 1 dormitorio individual, sala de estar con sofá cama...",39.4956808,-0.3681141
Alquiler de piso en calle de Sant Vicent Màrtir,540 €/m  ,100 m²   3 hab.   5ª planta exterior," Carrer de Sant Vicent Màrtir, 336  "," Carrer de Sant Vicent Màrtir, 336   La Creu Coberta     Jesús    ",La Creu Coberta   , Jesús   ,Valencia,València,Vivienda de 100 m. que se alquila por primera vez. Recién pintado y renovado. Suelo recién abrillantado. Amueblado y con electrodomésticos. Ideal para cuatro personas. A cinco minutos en coche de La Fe y tres del Dr. Peset. Frente parada bus 27. Junto al Bulevar Sur. Todas las habitaciones exteri...,39.44891,-0.38565
Alquiler de piso en calle Xàtiva,750 €/m  ,47 m²   1 hab.   2ª planta exterior, Carrer Xàtiva  , Carrer Xàtiva   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"""Oportunidad Ark&kasa; ALQUILA en zona CIUTAT VELLA, EN PLENA CALLE XATIVA! Vivienda EXTERIOR, muy luminoso, 2º altura, CON ASCENSOR, distribuida en 1 dormitorio, 1 baño, salón comedor. Reformada a estrenar con buenas calidades, comedor cocina office y baño completo. Electrodomésticos nuevos a es...",39.46768489999999,-0.3785756
Alquiler de piso en Avigunda Constitucio,475 €/m  ,85 m²   3 hab.   4ª planta exterior,"  Avigunda Constitucio, 330  ","  Avigunda Constitucio, 330   Els Orriols     Rascanya    ",Els Orriols   , Rascanya   ,Valencia,València,"3 Habitaciones, 1 doble, 1 sencilla y 1 estudio 1 Cuarto de baño con ducha amplia Cocina equipada con electrodomésticos Gasto de agua incluido en el precio Armarios empotrados Galería Trastero 4º Sin ascensor Ideal para parejas jóvenes Con vistas a la huerta de Alboraya La vivienda está en la c...",39.50214,-0.36852
Alquiler de piso en Benicalap,575 €/m  ,50 m²   1 hab.   6ª planta exterior,   ,    Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"Bonita vivienda de 1 dormitorio, totalmente amueblada. Ubicada en un residencial con piscina, padel, gimnasio, conserje y club social. Junto a la Av. Cortes Valencianas, con todos los servicios a tu alcance (supermercados, restaurantes, cafeterías, farmacia 24 horas... ). Muy bien comunicada con...",39.4935471,-0.3913172
Alquiler de piso en Morvedre,800 €/m  ,100 m²   3 hab.   1ª planta exterior,   ,    Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,No hay descripcion,39.4845418,-0.3760125
Alquiler de piso en Benicalap,420 €/m  ,50 m²   2 hab.   2ª planta interior,   ,    Benicalap     Benicalap    ,Benicalap   , Benicalap   ,Valencia,València,"Genial piso en Benicalap de 2 dormitorios, sin amueblar, cocina office con electrodomésticos, baño, salón, gastos de comunidad incluidos, sin ascensor, luminoso, situado en zona con todos los servicios, a pocos minutos parada de autobús y tranvía, cerca de la Av. Burjassot, pásate a visitarlo. OPAU.",39.4935471,-0.3913172
Alquiler de ático en Nou Benicalap,650 €/m  ,50 m²   1 hab.   8ª planta exterior,   ,    Nou Benicalap     Benicalap    ,Nou Benicalap   , Benicalap   ,Valencia,València,"Fantástico ático en Benicalap de 1 dormitorio, amueblado, cocina office con electrodomésticos, baño, salón, dispone de aire acondicionado, calefacción azul en dormitorio, armarios empotrados, estupenda terraza de 28 metros para disfrutar durante todo el año, suelo de parquet, gastos de comunidad...",39.4934603,-0.3867769
Alquiler de piso en doctor vicente zaragoza,850 €/m  ,121 m²   4 hab.   8ª planta exterior,"Carrer doctor vicente zaragoza, 81  ","Carrer doctor vicente zaragoza, 81   Benimaclet     Benimaclet    ",Benimaclet   , Benimaclet   ,Valencia,València,"ESTUPENDO apartamento de 4 habitaciones, 2 baños y totalmente equipado, Ideal para Estudiantes. Cerca del metro y universidades. directo 637607982.",39.48353609999999,-0.3574596
Alquiler de piso en primado reig,750 €/m  ,84 m²   3 hab.   5ª planta exterior,Avinguda primado reig  ,Avinguda primado reig   Els Orriols     Rascanya    ,Els Orriols   , Rascanya   ,Valencia,València,"Luminosa vivienda en la Avenida Primado Reig, 84m² construidos, 79m² útiles, exterior, 3 habitaciones, baño completo, cocina office independiente, comedor, suelos de terrazo, carpintería exterior en aluminio, carpintería interior lacada en blanco. Vivienda con Orientación Este/Oeste en finca con...",39.4895265,-0.370583
Alquiler de piso en Mont-Olivet,800 €/m  ,76 m²   2 hab.   2ª planta exterior,   ,    Mont-Olivet     Quatre Carreres    ,Mont-Olivet   , Quatre Carreres   ,Valencia,València,"Este piso se encuentra en 46006, Valencia, Valencia, situado en el distrito de Monteolivete, en la planta 2. Es un piso amueblado que tiene 75 m2 y dispone de 2 habitaciones y 1 baños. Se trata de un inmueble exterior. Dispone de balcón, ascensor, cocina equipada y aire acondicionado y tiene plaz...",39.4586988,-0.3642437
Alquiler de piso en calle de les Illes Canàries,550 €/m  ,62 m²   2 hab.   5ª planta exterior, Carrer de les Illes Canàries  , Carrer de les Illes Canàries   Camí Fondo     Camins al Grau    ,Camí Fondo   , Camins al Grau   ,Valencia,València,"Piso 2 dormitorios amueblado en la calle islas canarias de 62 m2. Se alquila con electrodomésticos. Salón-comedor amplio con balcón, 2 dormitorios dobles, 1 baño completo con bañera y cocina reformada. Muy luminoso.",39.4657679,-0.3531635
Alquiler de piso en avenida de la Constitució,600 €/m  ,80 m²   3 hab.   4ª planta exterior," Avinguda de la Constitució, 46009 Zona Zaidia  "," Avinguda de la Constitució, 46009 Zona Zaidia   Morvedre     La Saïdia    ",Morvedre   , La Saïdia   ,Valencia,València,"""Piso muy bien situado"" El piso se encuentra a 300 metros del Jardín del Turia (antiguo cauce), bien comunicado (autobuses y tranvía) con universidades y playa, colegios y supermercados cercanos, a 20 minutos andando del centro de la ciudad. Piso con puerta blindada, tendedor, dos ascensores, rec...",39.4856,-0.37852
Alquiler de estudio en calle Don Juan de Austria,580 €/m  ,42 m²      4ª planta exterior, Carrer Don Juan de Austria  , Carrer Don Juan de Austria   Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"""DISPONIBLE 01/04"". DON JUAN DE AUSTRIA, Apartamento-Estudio de 42 m2 en Edificio de Lujo. SALÓN-COMEDOR amplio rectangular donde se encuentran 2 camas a modo de dormitorio, COCINA americana equipada, y 1 BAÑO completo con bañera. Dispone de 1 armario empotrado. Dispone de aire acondicionado. Se...",39.4703769,-0.3726093
Alquiler de piso en plaza de Marià Benlliure,900 €/m  ,101 m²   3 hab.   3ª planta exterior," Plaça de Marià Benlliure, 5  "," Plaça de Marià Benlliure, 5   Sant Francesc     Ciutat Vella    ",Sant Francesc   , Ciutat Vella   ,Valencia,València,"UBICACIÓN EXCELENTE, JUNTO A LA PLAZA DEL AYUNTAMIENTO Y CALLE SAN VICENTE MÁRTIR, Vivienda de 101 m2 situado en la Plaza Mariano Benlliure. Dispone de HALL de Entrada con armario empotrado, 3 DORMITORIOS (2 de ellos amplios con acceso a 1 Terraza y otros 2 de tamaño normal), 2 BAÑOS completos co...",39.4723362,-0.3759909
Alquiler de piso en Natzaret,390 €/m  ,70 m²   2 hab.   4ª planta exterior,   ,    Natzaret     Poblats Marítims    ,Natzaret   , Poblats Marítims   ,Valencia,València,"Estupendo piso en Nazaret de 2 dormitorios, sin amueblar, cocina con electrodomésticos, baño, amplio salón, dispone de balcón con vistas al Puerto, gastos de comunidad incluidos, sin ascensor, luminoso, situado en zona tranquila, a pocos minutos colegio público, parada de autobús, cerca del Puert...",39.4458527,-0.3313099
Alquiler de piso en avenida Catalunya,1.400 €/me,    175 m²   4 hab.   5ª planta exterior, Avinguda Catalunya  , Avinguda Catalunya   Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"EXCELENTE VIVIENDA DE 175 M2 EN EDIFICIO DE LUJO junto a las Avenidas Blasco Ibáñez, Aragón y Primado Reig. Dispone de HALL de Entrada amplio, SALÓN-COMEDOR muy amplio con Terraza, 5 DORMITORIOS (1 de ellos está conjunto al SALÓN-COMEDOR con puerta corredera, puede hacer de Comedor u otro dormito...",39.4818428,-0.3507917
Alquiler de piso en calle Alguer,850 €/m  ,115 m²   3 hab.   2ª planta exterior, Carrer Alguer  , Carrer Alguer   L'Illa Perduda     Algirós    ,L'Illa Perduda   , Algirós   ,Valencia,València,"EDIFICIO DE LADRILLO CARAVISTA, VIVIENDA DE 115 M2 EN LA CALLE ALGUER CON MOBILIARIO MODERNO. EXCELENTE CALIDADES. Dispone de HALL de Entrada, SALÓN-COMEDOR espacioso con 2 Balcones-Terraza y muy luminoso, 3 amplios DORMITORIOS, 2 BAÑOS completos con bañera (1 de ellos incorporado al dormitorio p...",39.4702347,-0.3404138
Alquiler de piso en VALL DE LAGUAR,625 €/m  ,90 m²   2 hab.   4ª planta interior,, Les Tendetes     Campanar    ,Les Tendetes   , Campanar   ,Valencia,València,"SE ALQUILA PISO EN CENTRO VALENCIA¡ Se alquila piso en el centro de Valencia, muy próximo al río y una de las mejores zonas de Valencia en el barrio de Carmen. El piso está totalmente reformado, la reforma la estrenaría usted, como también todo el mobiliario que está en ella, una oportunidad de v...",39.4838623,-0.3860187
Alquiler de piso en calle del convent de jerusalem,725 €/m  ,40 m²   1 hab., Carrer del convent de jerusalem  , Carrer del convent de jerusalem   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Se alquila Piso con ascensor en la zona de Sant Francesc. Tiene una superficie de 40 m2, distribuidos en 1 habitacion, 1 baño, comedor y cocina, con electrodomésticos. Es interior, con una excelente situación cerca de colegio, farmacia, ambulatorio, parque y parada de bus. cocina integrada en com...",39.466104,-0.3796906
Alquiler de piso en plaza Alcalde Domingo Torres,800 €/m  ,132 m²   3 hab.   5ª planta exterior, Plaça Alcalde Domingo Torres  , Plaça Alcalde Domingo Torres   Benimaclet     Benimaclet    ,Benimaclet   , Benimaclet   ,Valencia,València,"VIVIENDA DE 132 M2 EN EXCELENTE RESIDENCIAL. Residencial con Conserje, zona verde muy bonita y Piscina. Dispone de amplio SALÓN-COMEDOR rectangular que da acceso a la Terraza con Vistas muy bonitas a la zona común y la Piscina, 3 DORMITORIOS (2 de ellos dobles y 1 individual amplio. 1 de los dorm...",39.481663,-0.3578442
Alquiler de piso en calle Botànic Cavanilles,1.500 €/me,    180 m²   4 hab.   9ª planta exterior, Carrer Botànic Cavanilles  , Carrer Botànic Cavanilles   Jaume Roig     El Pla del Real    ,Jaume Roig   , El Pla del Real   ,Valencia,València,"Espectacular piso en buen estado ubicado en frente del Club de Tenis de Valencia, con inmejorables vistas al parque de viveros y de la Hípica, la vivienda dispone de parada de autobús en frente de la finca y cerca de la parada de metro de Benimaclet. Cerca del colegio Alemán y de Universidades. E...",39.4818719,-0.3651981
Alquiler de piso en Almudaina,550 €/m  ,92 m²   3 hab.   6ª planta exterior,, La Creu Coberta     Jesús    ,La Creu Coberta   , Jesús   ,Valencia,València,"EXCELENTE PISO REFORMADO CERCANO A CORREOS Se alquila vivienda de 92 construidos, reformada y sin amueblar. Dispone de tres dormitorios, salón comedor, cocina independiente equipada con horno, vitroceramica, nevera y campana extractora (solo le falta lavadora), y dos cuartos de baño. El piso tien...",39.45086,-0.38543
Alquiler de dúplex en calle Musico Hipolito Martinez,1.250 €/me,    200 m²   5 hab.   8ª planta exterior," Carrer Musico Hipolito Martinez, 16  "," Carrer Musico Hipolito Martinez, 16   Benimaclet     Benimaclet    ",Benimaclet   , Benimaclet   ,Valencia,València,"para mí Dúplex con terraza ajardinada de 90m2 en edificio con jardín privado de unos 4000m2, piscina (infantil y adultos), club social y vigilancia 24 h. Situado en zona residencial consolidada con toda clase de servicios y equipamiento. Buenas comunicaciones: tranvía...",39.4847064,-0.3561665000000001
Alquiler de piso en Nou Moles,600 €/m  ,137 m²   3 hab.   1ª planta exterior,   ,    Nou Moles     L'Olivereta    ,Nou Moles   , L'Olivereta   ,Valencia,València,"Se ofrece piso grande de más de 130 metros cuadrados amueblado y con electrodomésticos en alquiler en plena avenida del cid. Dispone de 3 habitaciones, 2 baños completos, cocina independiente reformada, balcón exterior y terraza interior. Un piso amplio de los de antes. No pierdas tiempo y ven a...",39.4715248,-0.3995606
Alquiler de ático en Gran Vía,950 €/m  ,55 m²   1 hab.   7ª planta exterior,   ,    Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"Precioso ÁTICO primeras calidades en calle emblemática del Ensanche. Amueblado. Amplio salón con salida a la terraza, cocina independiente (electrodomésticos primera gama), 1 dormitorio, 1 baño y terraza. Suelo de parqué de roble, calefacción, aire acondicionado. Amplio espacio de almacenaje. Muy...",39.4658115,-0.3660088
Alquiler de piso en puebla del duc,520 €/m  ,99 m²   5 hab.   4ª planta exterior,Carrer puebla del duc  ,Carrer puebla del duc   Morvedre     La Saïdia    ,Morvedre   , La Saïdia   ,Valencia,València,"Que gran casa! . Reformada y lista para entrar a vivir tenemos esta vivienda de 5 habitaciones, con baño y aseo cocina con despensa, y dos balcones, uno a la calle y otro al patio de manzanas. Carpintería exterior e interior nuevas, suelos de parquet y muchísima luz.. . En el barrio de la Saïdia,...",39.4869488,-0.3759989
Alquiler de ático en calle del miracle,1.600 €/me,    119 m²   2 hab.," Carrer del miracle, 3  "," Carrer del miracle, 3   La Xerea     Ciutat Vella    ",La Xerea   , Ciutat Vella   ,Valencia,València,"Ático dúplex de 119 m² útiles en inmejorable ubicación ya que está situado en una calle céntrica de la ciudad de Valencia. A parte de una terraza en la planta superior de 15m2, dispone de 2 habitaciones completas y dos baños, uno de ellos en suite, además de un amplio salón-comedor y cocina indep...",39.4747376,-0.3740218
Alquiler de ático en Sant Francesc,1.200 €/me,    100 m²   2 hab.   7ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Se encuentra ubicado en edificio representativo de oficinas, dentro del área de influencia turística de Ciutat Vella. En pleno centro de la ciudad y en un entorno comercial y de negocios, junto a Plaza del Ayuntamiento. Consta de 2 dormitorios, dos baños completos, cocina office con electrodomést...",39.4690149,-0.3760125
Alquiler de piso en Reina Doña Germana,990 €/m  ,123 m²   3 hab.   2ª planta exterior,Carrer Reina Doña Germana  ,Carrer Reina Doña Germana   Gran Vía     L'Eixample    ,Gran Vía   , L'Eixample   ,Valencia,València,"46005. Barrio de Gran Vía: vivienda de 123m2 distribuidos en amplio salón comedor con salida a balcón, 3 habitaciones, una de ellas acondicionada como sala, 2 baños, uno de ellos ensuite, cocina totalmente equipada y con lavadero, armarios empotrados con gran capacidad de almacenaje, calefacción...",39.4644532,-0.3645428
Alquiler de dúplex en calle de Martí,2.900 €/me,    210 m²   4 hab.   5ª planta exterior," Carrer de Martí, 6  "," Carrer de Martí, 6   Gran Vía     L'Eixample    ",Gran Vía   , L'Eixample   ,Valencia,València,ATICO DUPLEX DE LUJO JUNTO A LA GRAN VIA MARQUES DEL TURIA El atico se encuentra en un edificio de reciente construcción. El edificio se encuentra a tan solo 20 metros de la Gran via. La calle es muy tranquila y con una orientación SUR-ESTE. La zona es muy céntrica y cuenta con todo tipo de serv...,39.46539,-0.3708033
Alquiler de ático en SAN VICENTE,1.700 €/me,    189 m²   4 hab.   8ª planta exterior,Carrer san vicent  ,Carrer san vicent   La Roqueta     Extramurs    ,La Roqueta   , Extramurs   ,Valencia,València,"Exclusivo atico duplex nuevo a estrenar con 3 terrazas, calidades de gama alta en la calle San Vicente, con vistas a la Pz. San Agustin en el corazón de Valencia. Inmejorable ubicación. Edificio rehabilitado integramente en 2014. Tiene 189m2 según catastro y 163m2 construidos y distribuidos en PL...",39.4672996,-0.3804653000000001
Alquiler de piso en calle de la Mare de Déu del Sufragi,1.000 €/me,    107 m²   3 hab.   1ª planta exterior, Carrer de la Mare de Déu del Sufragi  , Carrer de la Mare de Déu del Sufragi   El Cabanyal-El Canyamelar     Poblats Marítims    ,El Cabanyal-El Canyamelar   , Poblats Marítims   ,Valencia,València,"PISO REFORMADO A ESTRENAR JUNTO ALA PLAYA DE LAS ARENAS-MALVAROSA CON ESPECTACULAR TERRAZA DE 88 METROS SE ALQUILA SIN MUEBLES SE REQUIERE SOLVENCIA LA PROPIEDAD La vivienda tiene 3 habitaciones, 2 baños con ducha, 1 cocina - comedor con acceso a la terraza y 1 terraza con paellero y barbacoa...",39.4668345,-0.3267899
Alquiler de piso en Sant Francesc,1.700 €/me,    187 m²   3 hab.   3ª planta exterior,   ,    Sant Francesc     Ciutat Vella    ,Sant Francesc   , Ciutat Vella   ,Valencia,València,"Impresionante vivienda en edificio clásico y señorial de 1987, en la calle de La Paz, inmejorable ubicación. Tiene 201m2 segun catastro y 187m2 construidos en dos alturas. Se distribuye en amplio hall con armarios empotrados, amplio salon con comedor independiente y un bonito mirador con vistas a...",39.4690149,-0.3760125
